race,sex,LSAT,UGPA,ZFYA
1.00,1.00,33.00,2.13,-0.07
1.00,1.00,33.00,2.75,0.08
1.00,0.00,18.00,2.63,0.74
1.00,1.00,21.00,2.27,0.37
1.00,1.00,34.00,3.13,-0.95
1.00,0.00,33.00,2.71,1.93
1.00,1.00,31.00,2.17,0.16
1.00,0.00,35.00,2.32,-0.11
1.00,1.00,35.00,2.79,-0.77
1.00,1.00,30.00,3.22,0.22
1.00,1.00,26.00,2.82,-0.43
1.00,1.00,29.00,2.77,-0.89
1.00,1.00,34.00,3.01,0.01
1.00,1.00,36.00,3.39,-0.62
1.00,0.00,35.00,3.30,-0.53
1.00,1.00,37.00,3.04,-0.05
1.00,1.00,24.00,2.97,0.98
1.00,0.00,31.00,2.48,0.07
1.00,1.00,27.00,3.35,-0.35
1.00,0.00,28.00,3.15,-0.30
1.00,1.00,25.00,3.39,-1.48
1.00,1.00,21.00,3.16,-0.07
1.00,1.00,28.00,2.60,0.10
1.00,0.00,39.00,3.43,0.21
1.00,0.00,40.00,3.74,1.05
1.00,1.00,29.00,3.11,-0.14
1.00,0.00,28.00,2.00,-0.77
1.00,0.00,26.00,2.72,-0.44
1.00,1.00,31.00,2.59,1.03
1.00,1.00,36.00,2.97,0.31
1.00,0.00,35.00,2.67,0.19
1.00,0.00,23.00,2.89,0.62
1.00,0.00,37.00,3.89,-1.28
1.00,0.00,33.00,2.82,-0.40
1.00,0.00,28.00,3.16,-0.33
1.00,0.00,41.00,2.48,0.27
1.00,0.00,28.00,2.99,-0.44
1.00,0.00,32.00,2.99,-0.04
1.00,0.00,33.00,2.69,1.58
1.00,1.00,27.00,2.58,0.95
1.00,0.00,30.00,2.94,-0.27
1.00,0.00,34.00,2.93,0.43
1.00,0.00,24.00,3.26,1.07
1.00,0.00,35.00,3.19,-1.28
1.00,0.00,34.00,3.57,-0.17
1.00,0.00,32.00,2.49,0.80
1.00,1.00,28.00,3.55,1.51
1.00,1.00,39.00,2.42,-0.16
1.00,1.00,28.00,2.47,-0.18
1.00,1.00,22.00,3.26,-0.96
1.00,1.00,33.00,3.22,0.42
1.00,1.00,27.00,2.63,-0.55
1.00,0.00,30.00,3.52,0.09
1.00,1.00,28.00,2.70,-2.32
1.00,0.00,37.00,3.55,0.09
1.00,1.00,22.00,3.42,0.75
1.00,1.00,37.00,2.77,-0.51
1.00,0.00,45.00,2.96,-1.20
1.00,0.00,36.00,2.81,0.48
1.00,1.00,27.00,2.58,0.59
1.00,1.00,42.00,3.23,1.57
1.00,1.00,27.00,2.77,1.38
1.00,1.00,33.00,1.72,-1.29
1.00,1.00,32.00,2.63,-0.92
1.00,1.00,36.00,3.00,0.26
1.00,1.00,35.00,2.54,0.52
1.00,1.00,28.00,2.66,1.40
1.00,1.00,33.00,2.60,-0.22
1.00,0.00,25.00,2.83,0.82
1.00,0.00,30.00,2.82,1.13
1.00,1.00,36.00,3.76,-1.43
1.00,1.00,43.00,2.87,-0.86
1.00,1.00,29.00,2.36,0.71
1.00,1.00,36.00,2.52,-0.42
1.00,0.00,38.00,2.69,0.05
1.00,1.00,25.00,2.46,-1.31
1.00,0.00,29.00,3.04,-0.64
1.00,1.00,37.00,2.97,0.90
1.00,1.00,29.00,3.04,0.16
1.00,1.00,35.00,2.26,1.74
1.00,0.00,31.00,2.98,2.00
1.00,1.00,32.00,3.14,-1.54
1.00,0.00,24.00,2.80,1.62
1.00,0.00,23.00,3.28,-0.70
1.00,1.00,28.00,2.37,0.58
1.00,1.00,46.00,2.60,-0.77
1.00,0.00,20.00,2.89,-0.59
1.00,1.00,36.00,2.51,-0.41
1.00,1.00,31.00,2.60,-1.27
1.00,0.00,38.00,2.93,-0.17
1.00,0.00,27.00,2.69,-1.76
1.00,0.00,34.00,3.51,2.18
1.00,0.00,25.00,2.53,-1.69
1.00,0.00,29.00,2.89,1.26
1.00,0.00,38.00,3.18,0.10
1.00,0.00,43.00,3.60,-0.18
1.00,0.00,24.00,3.50,-1.09
1.00,0.00,28.00,3.44,1.32
1.00,0.00,29.00,3.56,0.79
1.00,1.00,24.00,2.29,0.01
1.00,1.00,29.00,3.46,0.86
1.00,1.00,35.00,2.37,-1.22
1.00,0.00,27.00,2.41,-0.02
1.00,0.00,28.00,3.43,-1.12
1.00,0.00,21.00,3.45,-0.60
1.00,1.00,34.00,3.01,1.62
1.00,1.00,33.00,2.75,-0.19
1.00,0.00,35.00,2.90,1.32
1.00,0.00,25.00,2.04,-0.01
1.00,0.00,33.00,3.00,0.39
1.00,1.00,21.00,2.32,0.79
1.00,1.00,41.00,2.39,0.25
1.00,1.00,27.00,3.33,0.03
1.00,1.00,29.00,2.64,-1.37
1.00,1.00,30.00,3.29,-0.60
1.00,1.00,46.00,3.35,-0.15
1.00,0.00,31.00,2.81,1.06
1.00,1.00,30.00,3.17,-0.47
1.00,1.00,36.00,3.10,-0.50
1.00,0.00,27.00,2.96,1.55
1.00,0.00,30.00,3.86,-0.69
1.00,0.00,49.00,2.96,-1.33
1.00,1.00,31.00,3.16,0.89
1.00,1.00,33.00,3.87,-0.15
1.00,1.00,36.00,2.61,0.76
1.00,0.00,33.00,3.50,0.82
1.00,0.00,29.00,2.88,0.95
1.00,1.00,31.00,3.03,-0.57
1.00,0.00,31.00,2.98,0.40
1.00,0.00,27.00,2.59,-0.33
1.00,0.00,38.00,3.60,-1.12
1.00,0.00,38.00,3.47,0.66
1.00,0.00,39.00,3.04,-1.03
1.00,0.00,30.00,2.66,-0.03
1.00,0.00,41.00,3.06,-0.23
1.00,0.00,23.00,2.63,1.95
1.00,0.00,33.00,2.55,-0.26
1.00,0.00,33.00,2.36,-1.48
1.00,1.00,31.00,3.12,1.60
1.00,0.00,24.00,3.10,1.46
1.00,1.00,31.00,3.53,-0.91
1.00,0.00,34.00,3.11,-0.54
1.00,0.00,42.00,3.55,0.88
1.00,0.00,37.00,2.45,-2.87
1.00,1.00,31.00,2.48,0.92
1.00,0.00,36.00,2.74,-1.83
1.00,0.00,36.00,3.80,0.26
