race,sex,LSAT,UGPA,ZFYA
2.00,1.00,25.00,2.39,-1.13
2.00,1.00,26.00,2.78,1.05
2.00,0.00,36.00,2.63,-0.83
2.00,1.00,21.00,2.19,-1.20
2.00,1.00,34.00,3.37,-1.22
2.00,0.00,27.00,2.81,0.73
2.00,1.00,29.00,2.54,-0.89
2.00,0.00,30.00,2.66,0.35
2.00,1.00,36.00,2.96,-1.43
2.00,1.00,37.00,3.19,-0.64
2.00,1.00,33.00,2.54,-1.78
2.00,1.00,29.00,2.97,0.65
2.00,1.00,36.00,2.85,-0.30
2.00,1.00,32.00,3.45,0.23
2.00,0.00,24.00,3.06,0.44
2.00,1.00,44.00,3.04,-0.13
2.00,1.00,31.00,2.61,-1.11
2.00,0.00,23.00,2.58,0.94
2.00,1.00,37.00,3.19,-0.76
2.00,0.00,26.00,3.02,-1.82
2.00,1.00,50.00,3.03,1.01
2.00,1.00,33.00,3.31,-0.10
2.00,1.00,29.00,2.86,-0.14
2.00,0.00,33.00,3.47,-1.45
2.00,0.00,42.00,3.42,0.17
2.00,1.00,31.00,3.14,-0.59
2.00,0.00,29.00,2.43,-2.87
2.00,0.00,29.00,2.30,0.34
2.00,1.00,34.00,2.79,-0.54
2.00,1.00,38.00,2.91,-0.21
2.00,0.00,35.00,2.82,-2.55
2.00,0.00,36.00,3.17,0.03
2.00,0.00,42.00,3.43,-1.34
2.00,0.00,30.00,2.93,-0.77
2.00,0.00,36.00,3.28,-1.19
2.00,0.00,33.00,3.05,-0.10
2.00,0.00,40.00,3.27,-0.17
2.00,0.00,44.00,3.09,-0.85
2.00,0.00,31.00,3.03,1.87
2.00,1.00,41.00,2.57,-0.67
2.00,0.00,30.00,2.94,0.35
2.00,0.00,26.00,2.88,-0.40
2.00,0.00,40.00,3.47,0.68
2.00,0.00,34.00,3.07,0.14
2.00,0.00,29.00,4.26,-1.48
2.00,0.00,27.00,2.74,-1.03
2.00,1.00,40.00,3.59,0.40
2.00,1.00,36.00,2.73,-0.33
2.00,1.00,35.00,2.61,-1.12
2.00,1.00,39.00,3.38,-0.57
2.00,1.00,30.00,2.68,-1.69
2.00,1.00,19.00,2.38,-0.12
2.00,0.00,28.00,3.45,-0.24
2.00,1.00,28.00,3.39,0.08
2.00,0.00,40.00,3.57,-0.43
2.00,1.00,46.00,3.47,1.63
2.00,1.00,34.00,2.88,1.62
2.00,0.00,34.00,3.74,2.19
2.00,0.00,38.00,3.10,0.96
2.00,1.00,31.00,3.26,-1.92
2.00,1.00,37.00,3.61,1.33
2.00,1.00,40.00,2.63,0.24
2.00,1.00,26.00,1.54,-0.48
2.00,1.00,32.00,2.70,-0.22
2.00,1.00,29.00,3.13,-0.33
2.00,1.00,28.00,2.40,-0.37
2.00,1.00,24.00,2.91,1.36
2.00,1.00,31.00,2.70,-1.00
2.00,0.00,35.00,2.91,0.24
2.00,0.00,28.00,3.30,0.84
2.00,1.00,37.00,3.27,-0.89
2.00,1.00,31.00,2.87,-0.07
2.00,1.00,33.00,2.92,-0.67
2.00,1.00,31.00,2.86,2.28
2.00,0.00,34.00,2.91,-0.56
2.00,1.00,35.00,2.60,0.84
2.00,0.00,23.00,3.33,0.09
2.00,1.00,35.00,2.60,-0.49
2.00,1.00,29.00,2.86,0.23
2.00,1.00,32.00,2.78,-0.09
2.00,0.00,32.00,3.13,0.07
2.00,1.00,34.00,3.08,-0.79
2.00,0.00,26.00,2.72,0.85
2.00,0.00,35.00,3.47,0.83
2.00,1.00,28.00,2.32,-0.47
2.00,1.00,28.00,2.89,-0.17
2.00,0.00,28.00,3.49,-0.53
2.00,1.00,52.00,2.88,-1.63
2.00,1.00,46.00,3.38,0.87
2.00,0.00,25.00,3.19,-0.19
2.00,0.00,31.00,2.75,-1.07
2.00,0.00,41.00,3.04,-0.22
2.00,0.00,32.00,3.24,-0.03
2.00,0.00,37.00,2.85,-1.35
2.00,0.00,31.00,3.28,-0.57
2.00,0.00,39.00,3.22,1.88
2.00,0.00,31.00,3.14,-1.31
2.00,0.00,33.00,3.71,0.36
2.00,0.00,35.00,3.07,-0.34
2.00,1.00,37.00,2.62,-1.75
2.00,1.00,33.00,3.66,-1.06
2.00,1.00,30.00,2.56,-0.45
2.00,0.00,34.00,2.67,-0.60
2.00,0.00,27.00,3.47,0.26
2.00,0.00,34.00,3.31,0.17
2.00,1.00,36.00,3.38,-0.27
2.00,1.00,23.00,2.98,0.05
2.00,0.00,30.00,3.27,0.07
2.00,0.00,39.00,2.35,-0.74
2.00,0.00,30.00,3.04,-0.77
2.00,1.00,21.00,2.19,1.42
2.00,1.00,34.00,2.69,0.17
2.00,1.00,38.00,3.40,2.57
2.00,1.00,30.00,2.10,0.46
2.00,1.00,27.00,3.29,-0.27
2.00,1.00,31.00,3.52,-0.18
2.00,0.00,38.00,2.96,0.68
2.00,1.00,36.00,2.96,-1.28
2.00,1.00,31.00,3.23,0.61
2.00,0.00,36.00,2.83,-0.75
2.00,0.00,42.00,4.07,-0.15
2.00,0.00,32.00,2.86,1.85
2.00,1.00,37.00,2.67,-0.63
2.00,1.00,31.00,3.60,-1.69
2.00,1.00,32.00,2.21,0.95
2.00,0.00,35.00,3.31,1.42
2.00,0.00,33.00,3.08,-0.91
2.00,1.00,28.00,3.30,-1.13
2.00,0.00,36.00,3.60,0.37
2.00,0.00,26.00,2.30,0.52
2.00,0.00,25.00,2.87,0.13
2.00,0.00,36.00,3.75,1.08
2.00,0.00,31.00,2.83,-0.18
2.00,0.00,41.00,2.57,0.97
2.00,0.00,26.00,3.14,-0.21
2.00,0.00,39.00,2.32,-0.88
2.00,0.00,31.00,2.60,-0.31
2.00,0.00,31.00,2.40,0.67
2.00,1.00,27.00,3.16,0.79
2.00,0.00,28.00,2.79,1.47
2.00,1.00,30.00,4.06,1.34
2.00,0.00,31.00,3.19,1.12
2.00,0.00,35.00,3.60,-0.70
2.00,0.00,35.00,2.48,1.10
2.00,1.00,35.00,2.67,-0.28
2.00,0.00,21.00,2.73,0.60
2.00,0.00,40.00,3.60,1.15
2.00,1.00,35.00,3.21,-1.80
2.00,1.00,24.00,2.96,0.26
2.00,0.00,23.00,2.79,-1.20
2.00,1.00,28.00,3.12,1.93
2.00,1.00,39.00,2.37,-0.54
2.00,1.00,26.00,3.18,-0.44
2.00,1.00,22.00,3.04,0.55
2.00,1.00,25.00,3.20,-0.13
2.00,1.00,35.00,3.22,0.61
2.00,0.00,40.00,3.40,-0.30
2.00,0.00,25.00,3.84,-0.12
2.00,0.00,28.00,2.67,-1.20
2.00,1.00,35.00,3.75,-0.48
2.00,1.00,34.00,3.20,0.46
2.00,1.00,40.00,3.10,0.13
2.00,0.00,34.00,2.76,-1.11
2.00,0.00,40.00,2.61,-0.73
2.00,0.00,28.00,3.08,-2.06
2.00,0.00,30.00,3.06,-1.51
2.00,0.00,29.00,3.22,0.51
2.00,1.00,38.00,3.42,0.92
2.00,1.00,33.00,3.58,-1.51
2.00,1.00,33.00,3.32,0.98
2.00,1.00,32.00,3.14,1.08
2.00,0.00,34.00,2.81,-0.23
2.00,0.00,33.00,2.97,-1.40
2.00,0.00,31.00,2.59,1.25
2.00,0.00,48.00,3.07,0.38
2.00,1.00,33.00,2.70,-1.94
2.00,0.00,26.00,3.28,1.83
