race,sex,LSAT,UGPA,ZFYA
7.00,1.00,37.00,2.74,0.95
7.00,1.00,44.00,3.23,-1.44
7.00,0.00,31.00,3.36,-1.42
7.00,1.00,39.00,2.58,0.65
7.00,1.00,26.00,3.00,1.74
7.00,0.00,41.00,2.83,0.87
7.00,1.00,43.00,2.73,1.80
7.00,0.00,43.00,2.59,0.45
7.00,1.00,40.00,2.96,1.00
7.00,1.00,38.00,3.36,-0.72
7.00,1.00,31.00,3.04,-0.54
7.00,1.00,29.00,2.82,-0.52
7.00,1.00,44.00,3.34,-0.44
7.00,1.00,42.00,3.50,0.37
7.00,0.00,41.00,3.10,-1.07
7.00,1.00,46.00,3.26,-0.27
7.00,1.00,41.00,3.18,0.84
7.00,0.00,36.00,2.77,0.00
7.00,1.00,38.00,3.62,-2.51
7.00,0.00,29.00,3.11,-0.52
7.00,1.00,30.00,3.81,1.48
7.00,1.00,47.00,3.11,-1.41
7.00,1.00,37.00,2.85,-0.14
7.00,0.00,34.00,3.58,1.19
7.00,0.00,34.00,3.94,-0.40
7.00,1.00,25.00,2.95,0.63
7.00,0.00,31.00,2.47,0.24
7.00,0.00,28.00,2.78,1.01
7.00,1.00,33.00,2.85,-0.29
7.00,1.00,30.00,2.79,0.02
7.00,0.00,37.00,3.15,-0.48
7.00,0.00,29.00,3.47,0.58
7.00,0.00,38.00,3.87,0.09
7.00,0.00,29.00,3.53,-0.13
7.00,0.00,44.00,3.11,1.78
7.00,0.00,36.00,3.29,-0.05
7.00,0.00,40.00,3.38,-1.30
7.00,0.00,27.00,3.04,-0.59
7.00,0.00,45.00,3.24,-0.40
7.00,1.00,26.00,3.18,-1.75
7.00,0.00,23.00,3.32,0.84
7.00,0.00,42.00,3.26,0.39
7.00,0.00,39.00,3.14,-0.84
7.00,0.00,40.00,3.37,1.71
7.00,0.00,33.00,3.97,1.09
7.00,0.00,34.00,2.75,0.49
7.00,1.00,42.00,3.97,-0.42
7.00,1.00,43.00,3.14,1.72
7.00,1.00,32.00,3.24,-0.44
7.00,1.00,38.00,3.37,0.23
7.00,1.00,43.00,3.03,-0.46
7.00,1.00,31.00,2.90,2.08
7.00,0.00,43.00,3.77,-0.49
7.00,1.00,37.00,3.29,0.75
7.00,0.00,38.00,3.93,-0.51
7.00,1.00,40.00,3.48,0.15
7.00,1.00,44.00,3.12,-0.76
7.00,0.00,31.00,3.64,0.94
7.00,0.00,34.00,3.63,1.49
7.00,1.00,41.00,2.96,-0.06
7.00,1.00,37.00,3.79,-0.26
7.00,1.00,40.00,2.93,0.60
7.00,1.00,30.00,2.03,-0.13
7.00,1.00,48.00,2.91,-0.62
7.00,1.00,45.00,3.25,-0.43
7.00,1.00,36.00,2.55,-0.51
7.00,1.00,28.00,3.16,-0.35
7.00,1.00,26.00,2.88,0.76
7.00,0.00,38.00,3.26,-0.08
7.00,0.00,28.00,3.31,-1.19
7.00,1.00,40.00,3.70,-0.44
7.00,1.00,23.00,3.17,1.08
7.00,1.00,39.00,2.75,-0.67
7.00,1.00,33.00,3.15,1.11
7.00,0.00,28.00,2.89,1.23
7.00,1.00,36.00,3.17,2.14
7.00,0.00,45.00,3.42,1.04
7.00,1.00,47.00,2.84,-0.58
7.00,1.00,35.00,3.14,1.12
7.00,1.00,49.00,2.57,0.77
7.00,0.00,36.00,3.36,-0.82
7.00,1.00,41.00,3.10,-0.99
7.00,0.00,44.00,3.27,-0.33
7.00,0.00,44.00,3.63,0.32
7.00,1.00,29.00,2.69,-2.27
7.00,1.00,41.00,2.72,-0.53
7.00,0.00,33.00,3.39,-0.04
7.00,1.00,36.00,3.42,-0.50
7.00,1.00,32.00,3.18,1.13
7.00,0.00,42.00,3.22,-1.05
7.00,0.00,32.00,3.06,0.00
7.00,0.00,34.00,3.30,1.31
7.00,0.00,61.00,2.87,-1.38
7.00,0.00,36.00,3.29,0.03
7.00,0.00,36.00,3.33,1.33
7.00,0.00,29.00,4.15,1.43
7.00,0.00,51.00,3.86,1.87
7.00,0.00,33.00,3.41,0.24
7.00,0.00,37.00,3.68,-1.81
7.00,1.00,31.00,2.88,-1.27
7.00,1.00,44.00,3.91,1.33
7.00,1.00,32.00,2.91,1.75
7.00,0.00,42.00,2.94,0.83
7.00,0.00,34.00,3.65,1.77
7.00,0.00,30.00,3.84,0.12
7.00,1.00,20.00,3.40,1.44
7.00,1.00,37.00,3.00,-0.59
7.00,0.00,46.00,3.14,-0.46
7.00,0.00,45.00,2.27,0.30
7.00,0.00,43.00,3.37,-0.63
7.00,1.00,37.00,2.75,-0.34
