race,sex,LSAT,UGPA,ZFYA,first_pf
White,1,39,3.1,-0.98,1
White,1,36,3,0.09,1
White,2,30,3.1,-0.35,1
Hispanic,2,39,2.2,0.58,1
White,1,37,3.4,-1.26,1
White,1,30.5,3.6,0.3,1
White,2,36,3.6,-0.1,1
White,2,37,2.7,-0.12,0
White,1,37,2.6,1.53,1
White,2,31,3.6,0.34,1
White,2,41,3.2,1.53,1
White,2,35,3.1,-0.68,1
White,1,35,3.2,-0.17,1
White,2,35,2.9,-0.42,1
White,2,41,2.3,-0.35,1
White,2,30.5,3.3,0.85,1
White,1,36,3,0.04,1
White,2,40,3.9,2.48,1
White,2,36,3.4,0.27,1
White,2,29,2.7,0.88,1
White,2,37,3.2,0.58,1
White,2,30,3.1,1.99,1
White,2,40,3.1,-0.8,1
Asian,2,31,3.1,0.51,1
White,1,37,3.6,0.81,1
Black,2,29,2.8,-1.03,1
White,2,34,2.8,-0.12,1
White,2,35,3,-0.61,1
White,2,40,3.4,-0.73,1
White,2,36,2.6,-0.63,1
White,2,29,2.9,-0.02,1
White,2,35,2.5,0.02,1
White,2,32,3.4,0.65,1
White,1,36,2.7,-0.05,1
White,2,36,3.3,0.53,1
White,2,36,2.5,-1.1,0
White,2,38,3.6,1.41,1
White,2,36,3.6,1.18,1
White,2,32.5,3.2,0.76,1
White,1,27,3.5,-1.05,0
White,2,36,2.4,0.39,1
Black,1,19,3.2,-0.7,0
White,1,34,3.7,1.23,1
White,1,35,3.1,1.71,1
Hispanic,1,31,3.2,-0.82,1
White,2,36,2.8,-0.17,1
Other,2,32,3,-0.63,1
White,1,38,3.7,-0.05,1
White,2,34,3.2,0.37,1
White,2,38,2.8,0.44,1
White,1,36,3.4,0.46,1
White,1,42,3.5,-0.42,1
White,2,29,2.3,-0.93,0
White,2,31,3.7,-0.49,1
Black,1,23,2.6,0.48,1
White,2,37,3.8,0.72,1
White,1,33,3.3,-1.24,1
White,2,35,3.3,-0.7,1
White,2,36,3.2,0.83,1
White,2,35.5,2.4,-0.63,1
White,2,41,3.4,-0.05,1
White,1,34,3.5,0.55,1
Asian,1,27,2.9,-0.77,1
White,2,29,3.3,-0.98,0
White,1,33,3.3,1.27,1
White,2,32,2.9,-0.62,1
White,2,39,2.3,0.51,1
Asian,2,23,3.7,-0.17,1
White,1,39,3.4,-0.56,1
White,1,39,3,-0.42,1
White,1,32,3.8,-0.08,1
White,2,29,3.3,-1.19,0
White,2,31,3,-1.07,1
White,1,36,3.3,-0.49,1
Black,2,27,2.4,-1.66,0
White,2,30,3.5,1.39,1
White,2,38,3.5,2.78,1
White,1,34,2.8,-0.63,1
White,2,37,3.7,1.32,1
Hispanic,1,36,2.7,-1.28,1
White,2,43,3,0.1,1
